UMAP1,UMAP2,Feature,Density
9.491767,5.429427,Strange quark matter and strange stars,0.00693937987579836
6.189882,11.485414,"Centaurs, TNOs, rings, satellites, characteristics",0.002961391411964905
9.939318,7.9757633,Triaxial models in astronomy,0.0036649060384391554
10.721428,6.853646,Cosmological observables in theoretical models,0.006073799052649414
6.5074644,11.353281,Comet C/1995 O1 (Hale-Bopp),0.0013038962187009657
8.427467,7.286092,Rates of astrophysical phenomena,0.0520490323911394
4.238755,5.315651,Pulsars and Neutron Stars,0.011072067891003116
8.237093,5.726686,Heliosphere and cosmic ray interactions,0.005639166979749092
10.851963,4.595442,Agegraphic dark energy,0.0005451317524512512
4.427993,9.418726,Galaxy clusters and substructures,0.0020810772982091685
8.255436,8.948247,Geant4 simulations in X-ray optics,0.002747758698166442
6.369804,10.313236,Detailed studies of specific astronomical objects,0.007635527856969215
5.5397253,3.9456873,Superradiance in black holes,0.0028766749909758596
4.740342,8.6000395,Larson's laws in molecular clouds,0.0017422116142529853
7.751882,10.7267685,TESS mission and data analysis,0.005473417460422698
4.4156675,8.639942,Magellanic Stream,0.0021621103965465166
10.944156,7.659143,Likelihood methods in cosmology,0.006766263711168571
3.7376335,8.590332,Open cluster M67 studies,0.0018674445844107052
7.435293,5.99967,Magnetic fields in galaxies,0.0066962805807863155
8.870473,9.953155,Wavefront aberrations in high-contrast imaging,0.003882222074889316
10.107015,4.983701,Peccei-Quinn symmetry and axions,0.001569095449623196
8.047037,7.4223576,Optical scatter in thin films,0.002489926112547607
10.285794,10.172253,Gender disparity and diversity in academia,0.003027691219695463
8.722641,6.958176,Astrophysical winds and driving mechanisms,0.011355683735183834
6.919502,11.944396,Search for extraterrestrial life and biosignatures,0.004839885964330703
4.8388844,9.367483,Luminosity functions in galaxy clusters,0.007661311115531098
2.916742,8.624164,NGC 205 and its stellar populations,0.004022188335653826
7.8821664,6.4261045,First Ionization Potential (FIP) Effect,0.0020037275225235182
2.868344,8.587041,NGC 6946,0.004280020921272661
6.9315844,5.099354,Solar magnetic field analysis,0.004335270761048126
9.358173,8.104039,Cosmic Microwave Background (CMB),0.01303527886435796
8.897902,6.743006,Dynamical friction in gaseous medium,0.001322312831959454
9.921291,8.170632,Point-Spread Function and Coaddition Techniques,0.0019153277788827746
8.124979,9.126302,CHIME (Canadian Hydrogen Intensity Mapping Experiment),0.0011823465711949435
10.177726,3.8642716,CRESST experiment and dark matter detection,0.004044288271564013
8.808648,10.338985,Phased array systems and technologies,0.004335270761048126
7.0842543,8.170538,Formamide in astrochemistry,0.002268926753445748
3.5825157,9.409477,Detailed studies of dwarf galaxies,0.002324176593221213
4.164856,9.418283,Friends-of-Friends algorithm for galaxy groups,0.0017937781313767524
9.234525,10.799222,GREGOR solar telescope instrumentation,0.002291026689355934
