2024-07-09 20:24:36,903 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Configure stats pid to 11981
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Loading settings from /Users/christineye/.config/wandb/settings
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Loading settings from /Users/christineye/retrieval/saerch/wandb/settings
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'saerch/topk_sae.py', 'program_abspath': '/Users/christineye/retrieval/saerch/topk_sae.py', 'program': '/Users/christineye/retrieval/saerch/topk_sae.py'}
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:_log_setup():520] Logging user logs to /Users/christineye/retrieval/saerch/wandb/run-20240709_202436-hc4n72su/logs/debug.log
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/christineye/retrieval/saerch/wandb/run-20240709_202436-hc4n72su/logs/debug-internal.log
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:init():560] calling init triggers
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'n_dirs': 12288, 'd_model': 1536, 'k': 128, 'auxk': 256, 'batch_size': 1024, 'lr': 0.0001, 'epochs': 10, 'auxk_coef': 0.03125, 'clip_grad': 1.0, 'device': 'cpu'}
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:init():610] starting backend
2024-07-09 20:24:36,904 INFO    MainThread:11981 [wandb_init.py:init():614] setting up manager
2024-07-09 20:24:36,905 INFO    MainThread:11981 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-09 20:24:36,907 INFO    MainThread:11981 [wandb_init.py:init():622] backend started and connected
2024-07-09 20:24:36,910 INFO    MainThread:11981 [wandb_init.py:init():711] updated telemetry
2024-07-09 20:24:36,947 INFO    MainThread:11981 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-09 20:24:37,222 INFO    MainThread:11981 [wandb_run.py:_on_init():2402] communicating current version
2024-07-09 20:24:37,303 INFO    MainThread:11981 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-09 20:24:37,304 INFO    MainThread:11981 [wandb_init.py:init():795] starting run threads in backend
2024-07-09 20:24:41,170 INFO    MainThread:11981 [wandb_run.py:_console_start():2380] atexit reg
2024-07-09 20:24:41,170 INFO    MainThread:11981 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-09 20:24:41,170 INFO    MainThread:11981 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-09 20:24:41,170 INFO    MainThread:11981 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-09 20:24:41,172 INFO    MainThread:11981 [wandb_init.py:init():838] run started, returning control to user process
